geneID	baseMean	log2FoldChange	lfcSE	pvalue	group1	group2	minusLog10p
YDR523C	189.905326683697	4.43023488579013	0.131315979828679	1.81735428251084e-250	alpha_nam	alpha_no	246.235003462624
YDR542W	13.2609797097507	4.29275162551723	0.511091320430241	1.36408390971806e-17	alpha_nam	alpha_no	15.4088199978452
YER106W	62.050603056997	4.03590505793659	0.217128956963414	7.93240194515032e-78	alpha_nam	alpha_no	74.8850729603402
YFL011W	81.3013565416278	3.42003790905908	0.171400451597064	1.05117652995594e-89	alpha_nam	alpha_no	86.6902513498949
YFL012W	78.0425165813854	4.19876860940658	0.187041161978317	1.88840755294179e-112	alpha_nam	alpha_no	109.332290684861
YFL063W	4.82452564750183	4.1720799813424	0.81122933110943	6.63640343222307e-08	alpha_nam	alpha_no	6.31447987977774
YFR032C	111.562636763023	6.08702766183922	0.253566096485005	1.58472291320224e-127	alpha_nam	alpha_no	124.248732233425
YFR057W	27.071453447261	6.27818571877478	0.560130116812636	5.96475635401107e-29	alpha_nam	alpha_no	26.4670383798615
YGL089C	918.234219086619	-5.80491047332232	0.182704771749134	2.46582217209889e-222	alpha_nam	alpha_no	218.278572567054
YGL138C	95.6969081982251	7.20084040949126	0.385608272378374	2.56346877149875e-77	alpha_nam	alpha_no	74.3866450258219
YGL170C	142.375768742157	4.623183306072	0.158150125099585	1.95312854483361e-188	alpha_nam	alpha_no	184.747780278438
YGL193C	72.3389237977233	-3.62736577871797	0.30360442752015	1.70679609837385e-33	alpha_nam	alpha_no	30.9435026572926
YGL256W	18216.4697778119	-3.80957494266323	0.463990551794578	9.59046524050268e-18	alpha_nam	alpha_no	15.5460271411976
YGR044C	750.807953518227	-3.32378837503213	0.131223486802326	1.06322466621278e-142	alpha_nam	alpha_no	139.28073137454
YGR273C	31.2648869048315	5.09580095566604	0.361626573357545	2.71692536410274e-45	alpha_nam	alpha_no	42.6105937061918
YHR125W	9.89185814604861	5.6313124622299	0.836586548925217	2.01592973148283e-11	alpha_nam	alpha_no	9.57557394493933
YHR126C	65.5092460586715	6.19036486992626	0.325870002017268	2.83644836316921e-80	alpha_nam	alpha_no	77.2969406846889
YHR185C	98.2345984938107	4.70411190013705	0.193900899125179	6.39099985043001e-131	alpha_nam	alpha_no	127.591964240943
YJR004C	1314.55504594597	-3.64034022037735	0.194828015644384	4.30690595967264e-79	alpha_nam	alpha_no	76.1390312731457
YJR086W	350.874544774541	-5.45932226524053	0.243885090150555	8.5563789408852e-111	alpha_nam	alpha_no	107.692486819676
YJR162C	3.038495081694	4.65880002214184	1.11014007312321	6.22435524889847e-06	alpha_nam	alpha_no	4.50923455708045
YKL178C	1021.50766774667	-3.71922804343307	0.0867982372501902	0	alpha_nam	alpha_no	Inf
YKL225W	1.64098904820373	5.85799824418738	2.61834298317412	2.30647628532799e-05	alpha_nam	alpha_no	3.99600514874582
YKR032W	0.802496460551392	3.87698833550338	2.62789798165704	0.00159760287938184	alpha_nam	alpha_no	2.34977971341376
YLR157W-E	91.0676867714643	-5.87288642204535	0.609311997576208	1.83545712356173e-22	alpha_nam	alpha_no	20.0880313139659
YLR265C	148.228129631905	-3.36773965557703	0.148473150828369	1.2134813558793e-114	alpha_nam	alpha_no	111.489591199234
YLR307C-A	77.2153841850188	3.55679432157241	0.276288832214396	2.53141948248056e-39	alpha_nam	alpha_no	36.7038627998312
YLR307W	254.942528253891	4.51015119543876	0.15684602218135	2.42571408268045e-183	alpha_nam	alpha_no	179.711663443121
YLR308W	104.261276062227	6.12563177226658	0.274471807626097	2.31553327925582e-110	alpha_nam	alpha_no	107.275920069882
YML058W-A	249.37510711111	3.72196044962232	0.208704948043271	1.52913236837743e-72	alpha_nam	alpha_no	69.6524206606914
YNL318C	33.3446807502705	5.78146861948744	0.403801856071503	2.18554742765794e-46	alpha_nam	alpha_no	43.6863617430061
YNR077C	3.75604230336674	5.66850301750425	1.32060840150858	4.89864905674275e-08	alpha_nam	alpha_no	6.43070710135521
YOL166C	5.50466261427154	5.40123369506475	1.00270213187454	4.45981509831808e-08	alpha_nam	alpha_no	6.46837549827861
YOR214C	100.208288979457	5.80148704940472	0.24576958746674	3.03440044518125e-123	alpha_nam	alpha_no	120.012370167925
YOR248W	6.79857091138785	-3.48229074544981	1.01082298544693	0.000155022454606976	alpha_nam	alpha_no	3.25246141794062
YOR255W	84.4366611698666	5.98718930623179	0.286252592918056	3.06934518294381e-97	alpha_nam	alpha_no	94.1834885878356
YPL021W	5.31331832699466	3.67777554523742	0.684288105205903	1.41062390817269e-08	alpha_nam	alpha_no	6.93161912573125
YPL130W	31.3798854241003	5.81370051005822	0.439637574146794	6.1990857661702e-40	alpha_nam	alpha_no	37.3095704395661
YBL016W	380.147528903241	-4.3482932154663	0.169485645857934	2.55756651965092e-145	alpha_diploid	alpha_no	141.739828637032
YBR093C	1315.52059299998	3.68712572969714	0.12330247089143	1.12682826501855e-197	alpha_diploid	alpha_no	193.840525337847
YBR115C	1497.18839593177	15.3122827735645	3.49789368286532	2.90050605870746e-38	alpha_diploid	alpha_no	35.2360892670137
YBR296C	266.161371589912	3.47485108863296	0.247213115658214	2.462029612693e-46	alpha_diploid	alpha_no	43.2000598021292
YCL065W	8.23685063273856	-3.39656743688856	0.975344139616543	0.000116055073941108	alpha_diploid	alpha_no	3.05302821912264
YCL066W	37.66783421097	-5.00478279998428	0.501817779348298	1.92951233577655e-23	alpha_diploid	alpha_no	20.6322413758211
YCR040W	119.00087104561	-4.31286368164993	0.25123150184016	1.39114422720968e-66	alpha_diploid	alpha_no	63.2804898291402
YCR041W	12.9556417482511	-3.85923777526514	0.496135212160456	2.72052959556903e-15	alpha_diploid	alpha_no	12.72724255944
YCR097W	1147.50410163988	13.4693120672204	3.3031053641815	6.91076006143728e-30	alpha_diploid	alpha_no	27.007099764731
YDL227C	219.89204190457	-3.83069469560486	0.411042812085606	6.51345819822655e-22	alpha_diploid	alpha_no	19.1719931248757
YEL021W	85533.6132221699	-16.7545847625114	0.760118322055874	3.72088838132515e-100	alpha_diploid	alpha_no	96.7367097756656
YGL089C	918.234219086619	-5.81027191951313	0.173959225215089	1.2532361295124e-245	alpha_diploid	alpha_no	241.697440150345
YGL193C	72.3389237977233	-4.19608533290353	0.308089741016071	1.60717917116963e-42	alpha_diploid	alpha_no	39.4644700250145
YHR005C	711.715287364367	-3.85554787255629	0.109224083525302	1.47238097201254e-273	alpha_diploid	alpha_no	269.502514124089
YHR136C	179.327634013558	3.95725694708734	0.24363393015398	1.46919219460374e-60	alpha_diploid	alpha_no	57.3273644489387
